date,categoryName,payee,comment,createdDate,changedDate,outcomeAccountName,outcome,outcomeCurrencyShortTitle
2023-05-08,Товары для дома,,Зубная щётка,2023-05-08 13:31:35,2023-05-08 10:31:40,Тинькофф,79.99,RUB
2023-05-10,Подарки,,Подарочки из Тюмени для Ники,2023-05-10 14:41:43,2023-05-10 11:41:59,Тинькофф,1200.0,RUB
2023-05-10,Кафе и рестораны / Кофейни,,,2023-05-10 14:51:04,2023-05-10 11:51:08,Тинькофф,179.0,RUB
2023-05-11,Кафе и рестораны / Кофейни,,Кофе и круассан,2023-05-11 18:37:57,2023-05-11 15:38:01,Тинькофф,418.0,RUB
2023-05-13,Товары для дома,,Дубликат ключей,2023-05-13 18:04:48,2023-05-13 15:04:52,Тинькофф,200.0,RUB
2023-05-14,Продукты,,Вода,2023-05-14 11:28:25,2023-05-14 08:28:29,Тинькофф,138.0,RUB
2023-05-14,Проезд,,Такси из аэропорта,2023-05-15 09:03:01,2023-05-15 06:03:05,Сбер,466.0,RUB
2023-05-15,Кафе и рестораны,Столовая лицея,,2023-05-15 12:30:39,2023-05-15 09:30:43,Тинькофф,200.0,RUB
2023-05-15,Продукты / Сладости,Пятерочка,,2023-05-15 20:19:59,2023-05-15 17:20:02,Тинькофф,279.98,RUB
2023-05-15,Кафе и рестораны,Столовая лицея,,2023-05-16 10:32:13,2023-05-16 07:32:15,Тинькофф,130.0,RUB
2023-05-15,Кафе и рестораны,Столовая лицея,,2023-05-16 10:32:36,2023-05-16 07:32:42,Тинькофф,120.0,RUB
2023-05-16,Кафе и рестораны,Столовая лицея,,2023-05-16 12:49:03,2023-05-16 09:49:06,Тинькофф,180.0,RUB
2023-05-16,"Покупки: одежда, техника",,Футболка stonelover предзаказ,2023-05-16 15:25:05,2023-05-16 12:25:08,Тинькофф,2500.0,RUB
2023-05-16,Кафе и рестораны,,Мороженка мне и Нике,2023-05-16 21:08:25,2023-05-17 04:34:36,Тинькофф,400.0,RUB
2023-05-16,Здоровье и фитнес,Аптека,Таблетки сотрет,2023-05-16 21:09:06,2023-05-16 18:10:30,Тинькофф,2983.0,RUB
2023-05-16,Продукты,"ООО ""Агроторг""",,2023-05-17 07:34:25,2023-05-17 04:34:36,Тинькофф,640.39,RUB
2023-05-17,Продукты / Сладости,,,2023-05-17 17:50:57,2023-05-17 14:51:00,Тинькофф,154.97,RUB
2023-05-18,Кафе и рестораны,Шавуха,Шаурма,2023-05-18 12:43:05,2023-05-18 09:43:09,Тинькофф,290.0,RUB
2023-05-18,"Платежи, комиссии / Подписки",,Яндекс плюс,2023-05-19 08:26:51,2023-05-19 05:26:57,Тинькофф,299.0,RUB
2023-05-19,"Платежи, комиссии / Оплата связи",,,2023-05-19 08:26:12,2023-05-19 05:26:25,Тинькофф,200.0,RUB
2023-05-19,Кафе и рестораны,Столовая лицея,,2023-05-19 11:52:34,2023-05-19 08:52:37,Тинькофф,125.0,RUB
2023-05-19,Кафе и рестораны,Столовая лицея,,2023-05-19 12:38:41,2023-05-19 09:38:44,Тинькофф,200.0,RUB
2023-05-19,Продукты / Сладости,,,2023-05-19 15:07:21,2023-05-19 12:07:27,Тинькофф,173.48,RUB
2023-05-19,Продукты / Сладости,,Шоколадка,2023-05-20 11:33:02,2023-05-20 08:33:07,Тинькофф,200.0,RUB
2023-05-20,Продукты / Сладости,,Чипсы и завтрак,2023-05-20 16:40:53,2023-05-20 13:40:58,Тинькофф,213.76,RUB
2023-05-21,Продукты,АО ТД Перекресток,,2023-05-21 17:05:48,2023-05-21 14:05:53,Тинькофф,37.99,RUB
2023-05-21,Кафе и рестораны,,Пообедали с Никой,2023-05-22 16:34:50,2023-05-22 13:35:12,Тинькофф,2290.0,RUB
2023-05-22,Кафе и рестораны,Столовая лицея,,2023-05-22 16:36:06,2023-05-22 13:36:15,Тинькофф,125.0,RUB
2023-05-22,Кафе и рестораны,Столовая лицея,,2023-05-22 16:36:24,2023-05-22 13:36:49,Тинькофф,90.0,RUB
2023-05-22,Продукты,"ООО ""Агроторг""",,2023-05-22 16:57:14,2023-05-22 13:57:20,Тинькофф,1045.35,RUB
2023-05-23,Кафе и рестораны,Столовая лицея,,2023-05-23 12:32:08,2023-05-23 09:32:14,Тинькофф,105.0,RUB
2023-05-24,Продукты,,Доширак,2023-05-24 12:29:07,2023-05-24 09:29:09,Тинькофф,50.0,RUB
2023-05-24,Продукты,Пятерочка,,2023-05-24 19:12:16,2023-05-24 16:12:18,Тинькофф,252.37,RUB
2023-05-26,Кафе и рестораны,Столовая лицея,,2023-05-26 12:36:01,2023-05-26 09:36:05,Тинькофф,225.0,RUB
2023-05-26,Продукты / Сладости,"ООО ""Агроторг""",,2023-05-26 21:28:22,2023-05-26 18:28:47,Тинькофф,415.95,RUB
2023-05-26,Кафе и рестораны,Столовая лицея,Булочка,2023-05-26 21:28:42,2023-05-26 18:28:47,Тинькофф,40.0,RUB
2023-05-27,Продукты,,,2023-05-27 15:50:04,2023-05-27 12:50:07,Тинькофф,140.0,RUB
2023-05-27,Кафе и рестораны / Кофейни,Surf coffee,Кофе себе и Нике в серфе,2023-05-27 20:27:16,2023-05-27 17:27:18,Тинькофф,558.0,RUB
2023-05-27,Продукты,,,2023-05-29 08:34:41,2023-05-29 05:35:08,Тинькофф,278.0,RUB
2023-05-28,Проезд,,Билеты на электричку,2023-05-28 09:34:51,2023-05-28 06:34:53,Тинькофф,97.0,RUB
2023-05-28,Отдых и развлечения,,Билет в рощу,2023-05-29 08:36:08,2023-05-29 05:36:11,Тинькофф,300.0,RUB
2023-05-28,Кафе и рестораны / Кофейни,,Кофе и пироженка в кофейне,2023-05-29 08:36:36,2023-05-29 05:36:47,Тинькофф,510.0,RUB
2023-05-28,Проезд,,,2023-05-29 08:37:05,2023-05-29 05:37:09,Тинькофф,97.0,RUB
2023-05-28,Продукты,,,2023-05-29 08:37:49,2023-05-29 05:38:03,Тинькофф,517.27,RUB
2023-05-29,Продукты / Сладости,Пятерочка,Манговая вода,2023-05-29 14:31:49,2023-05-29 11:31:55,Тинькофф,40.0,RUB
2023-05-29,Кафе и рестораны,Столовая лицея,,2023-05-30 08:37:26,2023-05-30 05:38:49,Тинькофф,175.0,RUB
2023-05-30,Образование,,Членство sharewood,2023-05-30 09:00:14,2023-05-30 06:01:02,Сбер,1139.09,RUB
2023-05-30,Продукты / Сладости,Пятерочка,,2023-05-30 13:27:03,2023-05-30 10:27:12,Тинькофф,159.99,RUB
2023-05-30,Кафе и рестораны,Столовая лицея,,2023-05-30 13:34:19,2023-05-30 10:34:45,Тинькофф,195.0,RUB
2023-05-30,Продукты,,,2023-05-31 12:08:15,2023-05-31 09:08:46,Тинькофф,426.92,RUB
2023-05-31,Продукты,,,2023-05-31 12:45:18,2023-05-31 09:45:22,Тинькофф,216.0,RUB
2023-05-31,Подарки,,,2023-05-31 18:30:03,2023-05-31 15:30:10,Тинькофф,169.99,RUB
2023-05-31,Подарки,,Цветы Нике,2023-05-31 22:32:24,2023-05-31 19:32:29,Тинькофф,1000.0,RUB
2023-06-01,Кафе и рестораны,Столовая лицея,,2023-06-01 10:38:02,2023-06-01 07:38:17,Тинькофф,210.0,RUB
2023-06-01,Проезд,,Билет на электричку,2023-06-01 14:04:18,2023-06-01 11:04:33,Тинькофф,93.5,RUB
2023-06-01,Отдых и развлечения,,Билет в кино,2023-06-01 19:13:39,2023-06-01 16:13:59,Тинькофф,350.0,RUB
2023-06-01,Продукты / Сладости,,Вкусняхи в кино,2023-06-01 19:14:09,2023-06-01 16:14:25,Тинькофф,289.0,RUB
2023-06-01,Продукты / Сладости,,Клубника,2023-06-01 19:14:38,2023-06-01 16:15:04,Тинькофф,259.0,RUB
2023-06-01,Кафе и рестораны / Кофейни,,Чай с топиокой,2023-06-01 19:15:19,2023-06-01 16:15:51,Тинькофф,335.0,RUB
2023-06-01,Проезд,,,2023-06-02 10:35:21,2023-06-02 07:35:44,Тинькофф,93.5,RUB
2023-06-01,Забота о себе,Озон,Гель для укладки и презервативы,2023-06-02 10:36:39,2023-06-02 07:37:01,Тинькофф,542.0,RUB
2023-06-01,"Платежи, комиссии / Подписки",,Подписка на bookmate,2023-06-19 14:46:22,2023-06-19 11:46:45,Сбер,100.0,RUB
2023-06-02,"Платежи, комиссии / Подписки",,Подписка на chatgpt 4,2023-06-02 10:38:42,2023-06-02 07:39:02,Тинькофф,186.84,RUB
2023-06-02,Продукты / Сладости,,Чипсики,2023-06-02 15:16:23,2023-06-02 17:59:34,Тинькофф,179.99,RUB
2023-06-03,Кафе и рестораны,Столовая лицея,,2023-06-03 09:31:43,2023-06-03 06:32:09,Тинькофф,180.0,RUB
2023-06-03,Кафе и рестораны,,Пицца под пальмой,2023-06-03 19:07:30,2023-06-03 16:07:51,Тинькофф,730.0,RUB
2023-06-03,Продукты / Сладости,Пятерочка,Чипсики,2023-06-03 21:16:26,2023-06-03 18:16:40,Тинькофф,126.18,RUB
2023-06-04,Продукты,,,2023-06-04 10:21:39,2023-06-04 07:21:59,Тинькофф,162.97,RUB
2023-06-04,Кафе и рестораны / Кофейни,,,2023-06-04 11:13:13,2023-06-04 08:13:27,Тинькофф,55.4,RUB
2023-06-05,Продукты / Сладости,Магнит,Орешки,2023-06-05 08:57:05,2023-06-05 05:57:34,Тинькофф,80.7,RUB
2023-06-05,Кафе и рестораны,Шавуха,Гирос,2023-06-05 08:57:19,2023-06-05 05:57:34,Тинькофф,300.0,RUB
2023-06-05,Забота о себе,,Оплатил подписку на дзен мани,2023-06-05 10:01:41,2023-06-05 07:01:55,Тинькофф,149.0,RUB
2023-06-05,Продукты / Сладости,,Клубника,2023-06-05 16:04:55,2023-06-05 13:05:33,Тинькофф,167.5,RUB
2023-06-05,Продукты / Сладости,,Сырки,2023-06-05 16:05:18,2023-06-05 13:05:33,Тинькофф,494.94,RUB
2023-06-06,Кафе и рестораны,Столовая лицея,,2023-06-06 12:35:48,2023-06-06 09:36:38,Тинькофф,80.0,RUB
2023-06-06,Продукты / Сладости,Пятерочка,,2023-06-06 12:36:29,2023-06-06 09:36:38,Тинькофф,410.95,RUB
2023-06-06,Забота о себе,,Витамины,2023-06-06 19:06:01,2023-06-06 16:06:06,Тинькофф,1094.0,RUB
2023-06-06,Кафе и рестораны / Кофейни,,,2023-06-06 20:41:06,2023-06-06 17:41:10,Тинькофф,349.0,RUB
2023-06-07,Кафе и рестораны,Столовая лицея,,2023-06-07 09:27:18,2023-06-07 06:27:27,Тинькофф,85.0,RUB
2023-06-07,Кафе и рестораны,,,2023-06-07 13:47:28,2023-06-07 10:47:33,Тинькофф,175.0,RUB
