iter	Passed	Remaining
1095	1642	148213
1096	1644	148225
1097	1645	148225
1098	1646	148213
1099	1648	148202
1100	1649	148176
1101	1651	148173
1102	1652	148193
1103	1654	148177
1104	1655	148157
1105	1656	148159
1106	1658	148155
1107	1660	148162
1108	1661	148151
1109	1662	148123
1110	1664	148143
1111	1665	148138
1112	1667	148153
1113	1668	148135
1114	1670	148137
1115	1671	148140
1116	1673	148145
1117	1674	148145
1118	1676	148131
1119	1677	148142
1120	1679	148167
1121	1681	148159
1122	1682	148150
1123	1684	148139
1124	1685	148158
1125	1687	148159
1126	1688	148154
1127	1690	148143
1128	1692	148185
1129	1693	148189
1130	1694	148165
1131	1696	148142
1132	1697	148144
1133	1699	148179
1134	1701	148181
1135	1702	148160
1136	1704	148205
1137	1706	148209
1138	1707	148208
1139	1709	148211
1140	1710	148211
1141	1712	148212
1142	1713	148203
1143	1715	148200
1144	1716	148194
1145	1718	148218
1146	1719	148219
1147	1721	148218
1148	1722	148209
1149	1724	148217
1150	1725	148217
1151	1727	148210
1152	1728	148182
1153	1730	148184
1154	1731	148198
1155	1733	148203
1156	1734	148192
1157	1736	148188
1158	1737	148196
1159	1739	148223
1160	1741	148237
1161	1742	148212
1162	1744	148221
1163	1745	148210
1164	1746	148208
1165	1748	148219
1166	1750	148232
1167	1751	148218
1168	1753	148229
1169	1754	148227
1170	1756	148220
1171	1758	148264
1172	1760	148282
1173	1761	148280
1174	1762	148274
1175	1764	148299
1176	1766	148314
1177	1767	148293
1178	1769	148278
1179	1770	148287
1180	1772	148294
1181	1773	148289
1182	1775	148276
1183	1776	148257
1184	1778	148307
1185	1779	148301
1186	1781	148306
1187	1782	148291
1188	1784	148281
1189	1786	148308
1190	1787	148307
1191	1789	148300
1192	1790	148281
1193	1791	148289
1194	1793	148299
1195	1794	148279
1196	1796	148287
1197	1798	148323
1198	1800	148336
1199	1801	148334
1200	1802	148321
1201	1804	148357
1202	1806	148376
1203	1808	148360
1204	1809	148343
1205	1811	148362
1206	1812	148389
1207	1814	148397
1208	1815	148385
1209	1817	148384
1210	1818	148382
1211	1820	148396
1212	1822	148390
1213	1823	148391
1214	1825	148410
1215	1827	148425
1216	1828	148403
1217	1829	148404
1218	1831	148433
1219	1833	148442
1220	1834	148440
1221	1836	148417
1222	1837	148425
1223	1839	148424
1224	1840	148424
1225	1842	148417
1226	1843	148391
1227	1844	148385
1228	1846	148391
1229	1847	148381
1230	1848	148351
1231	1850	148339
1232	1852	148358
1233	1853	148341
1234	1854	148334
1235	1856	148326
1236	1857	148319
1237	1858	148298
1238	1860	148299
1239	1861	148295
1240	1863	148305
1241	1865	148306
1242	1866	148312
1243	1868	148314
1244	1869	148288
1245	1870	148288
1246	1872	148291
1247	1873	148285
1248	1875	148259
1249	1876	148255
1250	1878	148267
1251	1880	148287
1252	1881	148285
1253	1883	148283
1254	1884	148264
1255	1886	148283
1256	1887	148271
1257	1888	148251
1258	1890	148230
1259	1891	148238
1260	1893	148238
1261	1894	148241
1262	1896	148233
1263	1897	148214
1264	1899	148292
1265	1901	148282
1266	1902	148279
1267	1904	148296
1268	1906	148298
1269	1907	148284
1270	1909	148302
1271	1910	148300
1272	1912	148325
1273	1914	148335
1274	1915	148339
1275	1917	148319
1276	1918	148328
1277	1920	148354
1278	1921	148348
1279	1923	148336
1280	1924	148342
1281	1926	148362
1282	1928	148363
1283	1929	148350
1284	1931	148374
1285	1932	148374
1286	1934	148354
1287	1935	148328
1288	1936	148329
1289	1938	148344
1290	1940	148354
1291	1941	148332
1292	1942	148324
1293	1944	148306
1294	1945	148311
1295	1947	148317
1296	1948	148293
1297	1950	148288
1298	1951	148307
1299	1953	148296
1300	1954	148278
1301	1955	148269
1302	1957	148255
1303	1958	148270
1304	1960	148285
1305	1961	148264
1306	1963	148252
1307	1964	148240
1308	1966	148240
1309	1967	148247
1310	1969	148243
1311	1970	148242
1312	1972	148258
1313	1974	148256
1314	1975	148243
1315	1976	148240
1316	1978	148251
1317	1980	148262
1318	1981	148243
1319	1982	148233
1320	1984	148218
1321	1985	148238
1322	1987	148247
1323	1989	148258
1324	1990	148242
1325	1992	148272
1326	1993	148256
1327	1995	148238
1328	1996	148251
1329	1998	148278
1330	2000	148287
1331	2002	148305
1332	2003	148308
1333	2005	148303
1334	2006	148305
1335	2008	148301
1336	2009	148281
1337	2011	148293
1338	2013	148324
1339	2014	148320
1340	2015	148316
1341	2017	148315
1342	2019	148328
1343	2020	148317
1344	2021	148303
1345	2023	148314
1346	2025	148322
1347	2026	148331
1348	2028	148343
1349	2029	148337
1350	2031	148338
1351	2033	148339
1352	2034	148355
1353	2036	148354
1354	2037	148362
1355	2039	148382
1356	2041	148385
1357	2042	148385
1358	2044	148361
1359	2046	148395
1360	2047	148400
1361	2048	148377
1362	2049	148352
1363	2051	148357
1364	2053	148351
1365	2054	148342
1366	2055	148333
1367	2057	148322
1368	2058	148339
1369	2060	148327
1370	2061	148320
1371	2063	148314
1372	2064	148313
1373	2066	148329
1374	2068	148343
1375	2069	148327
1376	2070	148303
1377	2072	148324
1378	2073	148303
1379	2075	148293
1380	2076	148285
1381	2078	148284
1382	2079	148308
1383	2081	148315
1384	2082	148305
1385	2084	148302
1386	2085	148305
1387	2087	148291
1388	2088	148283
1389	2090	148275
1390	2091	148281
1391	2093	148296
1392	2095	148313
1393	2096	148307
1394	2098	148306
1395	2099	148300
1396	2101	148304
1397	2102	148298
1398	2104	148305
1399	2106	148331
